127.0.0.1 - - [21/Nov/2017:11:52:09 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:53:16 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:53:35 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:57:18 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:57:32 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:58:13 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:58:31 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:59:21 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:02:42 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:07:37 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:09:06 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:10:39 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:20:29 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.02228455324812&lon=-118.2847384338379 HTTP/1.1" 200 30775
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:22:37 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:23:34 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:26:20 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:26:38 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:27:44 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:28:52 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:31:16 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:32:20 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.03523071674867&lon=-118.20131100463868 HTTP/1.1" 200 30988
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:36:29 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:37:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:16:42:26 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
